영화명,장르,배우,감독,제작사,상영시간,개봉일,줄거리,url,TMDB 키워드,Gemini 키워드,국가,실관람객 평점,네티즌 평점,네이버 관심도(찜),누적 관객수,온라인 판매실적(당월),온라인 판매실적(익월),온라인 판매실적(익익월),매력도,유사작,경쟁작,예측 매력도
컴패니언,스릴러,"소피 대처, 잭 퀘이드, 루카스 게이지, 메건 수리, 하비 길렌, 루퍼트 프렌드",드류 행콕,"워너브러더스 코리아(주), 워너브러더스 코리아(주)",96.0,20250319.0,서로에게 딱 맞는 커플 ‘아이리스’와 ‘조시’는 친구들과 함께 호숫가의 별장으로 호화로운 휴가를 떠난다. 하지만 그곳에는 충격적인 사건이 기다리고 있는데…,https://image.tmdb.org/t/p/w500/dq7CEYFCvQPfYIpAXOvJr3w6VLY.jpg,"android, artificial intelligence (a.i.), cabin, robot, boyfriend girlfriend relationship, questioning, duringcreditsstinger, philosophical, robot girl, weekend getaway, human android relationship, toxic relationship, abusive relationship, malfunctioning android, sentient machine, sci-fi horror, human vs machines, cybernetics, android horror","서스펜스 있는,시골,기술",미국,8.001,8.18,300,1.9만,1762,1053,567,3382,"헤레틱, 블랙 크록, 쥬라기 월드: 폴른 킹덤, 브로큰, 스트리밍","침범, 블랙 백, 플로우, 스트리밍, 블랙 크록",14586.005
콘클라베,"드라마, 스릴러","랄프 파인즈, 스탠리 투치, 존 리스고, 이사벨라 로셀리니",에드워드 버거,"(주)디스테이션, (주)엔케이컨텐츠",120.0,20250305.0,"교황의 예기치 못한 죽음 이후 새로운 교황을 선출하는 콘클라베가 시작되고, 로렌스는 단장으로서 선거를 총괄하게 된다. 한편 당선에 유력했던 후보들이 스캔들에 휘말리면서 교활한 음모와 탐욕이 수면 위로 드러나는데…",https://image.tmdb.org/t/p/w500/aPPUy4JBYrJeRlQwMxdKwa3Ozkd.jpg,"vatican (holy see), pope, religion, election, roman catholic church, catholicism, questioning, cardinal, papal conclave, catholic monarchs, compassionate","서스펜스 있는,역사적,권력",미국,8.771,8.64,2631,33만,19649,20965,3012,43626,"올빼미, 탐정 말로, 풍재기시, 악마와의 토크쇼, 신명","괜찮아 괜찮아 괜찮아!, 보더랜드, 침범",36800.265
콰이어트 플레이스 2,스릴러,"에밀리 블런트, 킬리언 머피, 노아 주프, 밀리센트 시몬스, 디몬 하운수, 웨인 듀발",존 크래신스키,"롯데컬처웍스(주)롯데엔터테인먼트, 롯데컬처웍스(주)롯데엔터테인먼트, 파라마운트 픽쳐스",96.0,20210616.0,"실체를 알 수 없는 괴생명체의 공격으로 일상의 모든 것이 사라진 세상, 아이들 대신 죽음을 선택한 아빠의 희생 이후 살아남은 가족들은 위험에 노출된다. 갓 태어난 막내를 포함한 아이들과 함께 소리 없는 사투를 이어가던 엄마 에블린은 살아남기 위해 새로운 은신처를 찾아 집 밖을 나서지만, 텅 빈 고요함으로 가득한 바깥은 더 큰 위험이 도사리고 있다. 이들은 과연 고요함으로 가득한 세상 속을 무리 없이 걸어나갈 수 있을까.",https://image.tmdb.org/t/p/w500/6DoKA0l2TaHvw9BbP6YbMuAnxV3.jpg,"new york city, island, post-apocalyptic future, radio transmission, alien life-form, death of father, child in peril, sequel, alien, flashback, psychological thriller, creature, alien invasion, parenting, family, survival horror, alien monster, human vs alien, sign languages, alien attack, hostile, hearing impaired, newborn baby, anxious, dreary, suspenseful, tense, frightened","긴장감 있는,종말 이후,생존",미국,8.661,7.97,6492,86만,499,1079,488,2066,"서바이브, 콰이어트 플레이스, 콰이어트 플레이스: 첫째 날, 혹성탈출: 새로운 시대, 플로우",,4462.105
콰이어트 플레이스,스릴러,"루피타 뇽오, 조셉 퀸, 디몬 하운수, 알렉스 울프",마이클 사노스키,"롯데컬처웍스(주)롯데엔터테인먼트, 롯데컬처웍스(주)롯데엔터테인먼트, 파라마운트 픽쳐스",99.0,20240626.0,"인류 종말의 초기 단계로 보이는 가까운 미래, 이미 폐쇄된 뉴욕 주에서 간신히 살아남은 부부와 세 자녀가 맨발로 숨죽인 채 시골 마을의 식료품점을 헤맨다. 작은 소리에도 민감하게 반응해 소리의 근원지를 파괴하러 달려오는 괴 생명체가 곳곳에 도사리고 있기 때문. 전 세계를 파괴해 버린 무차별적인 공격과 숨통을 조여 오는 거대한 위협 속에서 살아남기 위해 주인공 가족은 일상에서 발생하는 모든 소리를 최소화하며 위태롭게 살아간다. 숨소리조차 마음 편히 낼 수 없는 극한의 상황, 아버지 리(존 크래신스키)와 어머니 에블린(에밀리 블런트)은 아이들과 자신들의 생명을 지키기 위해 고군분투하는데...",https://image.tmdb.org/t/p/w500/qh2GYLCJlWZhC4jSzArFy5Ep0k6.jpg,"pregnancy, fireworks, deaf, post-apocalyptic future, alien life-form, child in peril, creature, alien invasion, parenting, survival horror, human vs alien, sign languages, angry","긴장감 있는,종말 이후,생존",미국,6.531,7.56,1618,56만,204,407,215,826,"서바이브, 콰이어트 플레이스 2, 콰이어트 플레이스: 첫째 날, 혹성탈출: 새로운 시대, 플로우","콰이어트 플레이스: 첫째 날, 핸섬가이즈, 탈주",99310.86
콰이어트 플레이스: 첫째 날,스릴러,"루피타 뇽오, 조셉 퀸, 디몬 하운수, 알렉스 울프",마이클 사노스키,"롯데컬처웍스(주)롯데엔터테인먼트, 롯데컬처웍스(주)롯데엔터테인먼트, 파라마운트 픽쳐스",99.0,20240626.0,"평균 소음 90 데시벨을 자랑하는 미국 최대도시 뉴욕, 고양이 프로도와 함께 간만에 외출을 나온 사미라는 공연을 보고 돌아가던 중 하늘에서 떨어져 내리는 섬광을 목격하고 곧 사람들을 닥치는 대로 공격하는 정체불명 괴생명체의 출현에 충격에 휩싸인다. 아수라장이 된 뉴욕 도심에 ‘절대 소리 내지 말라’는 안내방송이 울려퍼지는 가운데 맨해튼의 모든 다리가 폭격으로 끊어지고, 사람들은 온갖 위협이 도사리는 도시에 고립되고 만다. 살아남기 위해 홀로 사투를 벌이던 '사미라'는 우연히 또 다른 생존자 에릭을 만나고 두 사람은 괴생명체를 피해 지하철역부터 시가지, 할렘까지 숨죽인 여정을 이어 나가는데…",https://image.tmdb.org/t/p/w500/eufjDFIHtFSmcblWpvw5BiNzmO6.jpg,"pregnancy, fireworks, deaf, post-apocalyptic future, alien life-form, child in peril, creature, alien invasion, parenting, survival horror, human vs alien, sign languages, angry","긴장감 있는,종말 이후,생존",미국,6.531,4.41,1618,55만,40805,45403,14526,100734,"서바이브, 콰이어트 플레이스 2, 콰이어트 플레이스, 혹성탈출: 새로운 시대, 플로우","콰이어트 플레이스, 핸섬가이즈, 탈주",98996.915
쿵푸팬더4,"애니메이션, 액션, 코미디","잭 블랙, 아콰피나, 비올라 데이비스, 더스틴 호프만, 제임스 홍, 브라이언 크랜스톤, 이눈솔","마이크 미첼, 스테파니 스티네","유니버설픽쳐스인터내셔널 코리아(유), 유니버설픽쳐스인터내셔널 코리아(유)",93.0,20240410.0,"마침내 내면의 평화… 냉면의 평화…가 찾아왔다고 믿는 용의 전사 ‘포’ 이젠 평화의 계곡의 영적 지도자가 되고, 자신을 대신할 후계자를 찾아야만 한다. “이제 용의 전사는 그만둬야 해요?” 용의 전사로의 모습이 익숙해지고 새로운 성장을 하기보다 지금 이대로가 좋은 ‘포’ 하지만 모든 쿵푸 마스터들의 능력을 그대로 복제하는 강력한 빌런 ‘카멜레온’이 나타나고 그녀를 막기 위해 정체를 알 수 없는 쿵푸 고수 ‘젠’과 함께 모험을 떠나게 되는데… 포는 가장 강력한 빌런과 자기 자신마저 뛰어넘고 진정한 변화를 할 수 있을까?",https://image.tmdb.org/t/p/w500/fvtswV04JfLGxxrjxW4t4j8bPhx.jpg,"martial arts, kung fu, china, villain, sequel, panda, anthropomorphism, chameleon, female villain","가볍고 유쾌한,판타지 세계,성장",미국,7.031,6.8,2654,177만,62692,27741,12788,103221,"브레드이발소: 빵스타의 탄생, 뽀로로 극장판 슈퍼스타 대모험, 극장판 도라에몽: 진구의 지구 교향곡, 트롤: 월드 투어, 뽀로로 극장판 바닷속 대모험",비키퍼,104898.48
타겟,스릴러,"신혜선, 김성균, 임성재, 임철수, 이주영, 금새록, 강태오, 노영학, 김광현, 조용준, 최재섭, 신승용, 강내균, 정우영, 변진수, 김원식, 서덕인, 송우림, 정다온, 박준희, 김최용준, 정재헌, 민정기, 신경석, 이규섭, 이연빈, 박범수, 전영, 유정호, 권구남, 이민영, 민채연, 이은주, 이서윤, 유인서, 오가빈, 이혜준, 김다한, 지다연, 최명빈, 한이원, 이육헌, 공필성",박희곤,"(주)영화사피어나, 메가박스중앙(주) 플러스엠 엔터테인먼트, 메가박스중앙(주) 플러스엠 엔터테인먼트, (사)한국농아인협회, 한국시각장애인연합회",101.0,20230830.0,"평범한 직장인 수현은 이사 후 세탁기를 중고거래로 구매하지만, 고장 난 세탁기를 받고 사기를 당했다는 사실을 알게 된다. 잠적한 판매자를 찾아내는데 성공한 수현은 그의 게시글마다 사기꾼이라는 댓글을 남겨 거래를 방해한다. 그날 이후 수현에게는 정체 모를 전화, 주문한 적 없는 음식 배달, 한밤 중 찾아오는 의문의 남자들까지 소름 끼치는 일들이 연이어 벌어진다. 개인 정보는 모두 유출되었고, 집안 곳곳에는 낯선 흔적들이 발견되면서 서서히 모든 일상이 파괴되기 시작한다. 드디어 본격적인 수사가 진행되고, 주형사와 중고거래 판매자의 집을 찾아간 수현은 그곳에서 시체를 발견하는데…",https://image.tmdb.org/t/p/w500/xSSAK4QZGyvjkef978bv1i1UQ07.jpg,"detective, investigation, second-hand market","긴장감 있는,도시,범죄",한국,6.951,6.52,2982,42만,2445,3270,1109,6824,"야당, 주차금지, 스트리밍, 명탐정 코난: 100만 달러의 펜타그램, 설계자",,26127.385
탈주,액션,"이제훈, 구교환, 홍사빈, 서현우, 이성욱, 정준원, 장영남, 송강, 이솜, 이호정, 배철수, 이호철, 한동희, 김재우, 이주광, 진희규, 박주훈, 양영문, 박다원, 진하랑, 박성민, 김동률, 김상흔, 박윤희, 우정원, 차순배, 송요셉, 진용욱, 정하늘, 박예나, 유지완, 이태영, 강효준, 강희제, 이승용, 강이안, 김호영, 최세용, 박가영, 차준서, 김다솔, 장우영, 황정민, 홍정호, 김윤배, 이동기, 고국희, 김미소, 황정용, 고서정, 박상호, 윤준호, 이창민, 윤도, 민현우, 최현태, 박준수, 신동현, 이재혁, 이호준, 김경래, 정찬우, 김상일, 강태우, 김동훈, 남주현, 김재석, 박근형, 김한상, 문형철, 박준환, 윤상돈, 이무녕, 김수민, 정태석",이종필,"더램프(주), (주)은하수필름 , 메가박스중앙(주) 플러스엠 엔터테인먼트, 메가박스중앙(주) 플러스엠 엔터테인먼트, 메가박스중앙(주) 플러스엠 엔터테인먼트, (사)한국농아인협회, 한국시각장애인연합회",94.0,20240703.0,"휴전선 인근 북한 최전방 군부대. 10년 만기 제대를 앞둔 중사 규남은 미래를 선택할 수 없는 북을 벗어나 원하는 것을 해 볼 수 있는 철책 너머로의 탈주를 준비한다. 그러나, 규남의 계획을 알아챈 하급 병사 동혁이 먼저 탈주를 시도하고, 말리려던 규남까지 졸지에 탈주병으로 체포된다. 탈주병 조사를 위해 부대로 온 보위부 소좌 현상은 어린 시절 알고 지내던 규남을 탈주병을 체포한 노력 영웅으로 둔갑시키고 사단장 직속보좌 자리까지 마련해주며 실적을 올리려 한다. 하지만 규남이 본격적인 탈출을 감행하자 현상은 물러설 길 없는 추격을 시작한다.",https://image.tmdb.org/t/p/w500/m2pFuNkL9V4lZxtVbBzB9yrYHai.jpg,"desertion, dmz, north korean defector, korean army, inter-korean relations, north korean","긴장감 있는,군대,생존",한국,7.931,7.92,11434,256만,66988,176141,47755,290884,"랜드 오브 배드, 칸다하, 더 커버넌트, 탈출: 프로젝트 사일런스, 고질라 VS. 콩","콰이어트 플레이스, 콰이어트 플레이스: 첫째 날, 핸섬가이즈, 극장판 도라에몽: 진구의 지구 교향곡",175383.49
탈출: 프로젝트 사일런스,스릴러,"이선균, 주지훈, 김희원, 문성근, 예수정, 김태우, 박희본, 박주현, 김수안, 하도권, 장광, 최정우, 구성환, 박호산, 이중현, 문병주, 송유현, 장태민, 유연, 곽진석, 안성봉, 김창환, 배명진, 유승일, 이상원, 김만기, 이미윤, 신희철, 권잎새, 이두익, 조홍우, 허동수, 유예진, 김민희, 신민수, 이광호, 김용호, 권혁석, 김승필, 이광호, 김도연, 임용순, 이순풍, 송광주, 손영옥, 추병준, 조하은, 강수아, 이종운, 최자인, 김동인, 김승연, 이택근, 이혜인, 정혜윤",김태곤,"씨제이이엔엠 스튜디오스 주식회사, 블라드스튜디오, (주)씨제이이엔엠, (주)씨제이이엔엠, (주)씨제이이엔엠, 블라드스튜디오, (주)덱스터스튜디오, (사)한국농아인협회, 한국시각장애인연합회",95.0,20240712.0,한치 앞도 구분할 수 없는 짙은 안개 속 붕괴 직전의 공항대교에 고립된 사람들이 그 안에 도사리고 있는 예기치 못한 위협으로부터 살아남기 위해 고군분투하는 이야기.,https://image.tmdb.org/t/p/w500/rXuSca6qEb4xPrSRT7XRzYCFbZB.jpg,"prison, rape, exploitation, women's prison, sequel, sexploitation, torture, lesbian sex, corrupt official, sex","긴장감 있는,도시,생존",한국,6.291,5.65,6905,68만,291,114232,30959,145482,"고질라 VS. 콩, 주차금지, 타겟, 야당, 열혈검사","극장판 도라에몽: 진구의 지구 교향곡, 명탐정 코난: 100만 달러의 펜타그램",150509.285
탐정 말로,"범죄, 액션, 스릴러","리암 니슨, 다이앤 크루거, 제시카 랭",닐 조단,"(주)바이포엠스튜디오, (주)바이포엠스튜디오",109.0,20240321.0,할리우드 곳곳을 누비며 사건을 해결하는 탐정 ‘말로’(리암 니슨)는 어느 날 갑자기 사라진 애인 ‘니코’를 찾아 달라는 매력적인 여인 '캐빈디시'(다이앤 크루거)의 의뢰를 받아 조사를 시작한다. 머지않아 말로는 니코의 실종에 숨겨진 충격적인 비밀을 마주하게 되는데… 역사상 가장 위대한 탐정이 온다!,https://image.tmdb.org/t/p/w500/oWxcdRJ0lBJ8kYtoWZelXoHkTz1.jpg,"los angeles, california, private detective, missing person, 1930s, old hollywood","서스펜스 있는,역사적,범죄","아일랜드, 미국",6.711,6.71,288,1.9만,6376,1689,1467,9532,"올빼미, 콘클라베, 밀수, 스트리밍, 설계자","당신이 잠든 사이, 1980, 고질라 X 콩: 뉴 엠파이어, 댓글부대",15702.36
톡 투 미,공포(호러),,"대니 필리푸, 마이클 필리푸","주식회사 올랄라스토리, 롯데컬처웍스(주)롯데시네마, (주)더쿱디스트리뷰션",94.0,20231101.0,SNS에서 핫한 빙의 챌린지에 중독된 미아와 친구들. 위험한 게임을 이어가던 중 친구 라일리가 미아의 죽은 엄마에게 빙의되자 미아는 이성을 잃고 마의 90초를 넘기고 마는데...,https://image.tmdb.org/t/p/w500/bYxNkZpRAygeo1Kbo79KJOn2Qjr.jpg,"suicide, trauma, possession, female friendship, addiction, grief, female protagonist, death of mother, self mutilation, mental health, dead parent, social media, peer pressure, disembodied hand, generation z, self-harm, supernatural horror, cautionary tale, adelaide australia, body horror, teenager, modern australia","어두운,현대,정신 건강","호주, 영국",8.181,8.18,40,3493,2573,2113,1277,5963,"인사이드 아웃 2, 사흘, 파이널 데스티네이션 블러드라인, 사바하, 보통의 가족",용감한 시민,17819.265
퇴마록,"애니메이션, 액션, 미스터리","최한, 남도형, 정유정, 김연우, 홍승효, 황창영, 김민주, 표영재",김동철,"(주)로커스, (주)쇼박스, 퇴마록문화산업전문 유한회사",85.0,20250221.0,"20년 전 한 사이비 종교단체에서 집단자살하는 사건이 발생한다. 그 속에서 기적적으로 태어난 승희(추상미)는 출생의 비밀을 모른 채 성장하지만, 20년 후인 지금 악령을 잉태할 운명에 처한다. 승희를 보호하기 위해 퇴마사들이 모여들지만, 세상은 그들에게 연쇄살인범이라는 터무니없는 혐의를 씌운다.  승희는 자신의 존재가 무고한 이들을 곤경에 빠뜨린다는 생각에 악의 제물이 되길 자청하고, 퇴마사들은 악의 부활을 막기 위한 필사의 결투를 준비하는데...",https://image.tmdb.org/t/p/w500/jCpXFED2mIXSP1bN4tkwvGshudZ.jpg,,"어두운,판타지 세계,구원",한국,8.791,9.23,5359,0,2196,32707,7871,42774,"사바하, 위시, 모아나 2, 센과 치히로의 행방불명, 모아나","패딩턴: 페루에 가다!, 괜찮아 괜찮아 괜찮아!",35293.75
트롤: 월드 투어,"애니메이션, 어드벤처, 코미디","안나 켄드릭, 저스틴 팀버레이크","월트 도른, 데이빗 P.스미스","유니버설픽쳐스인터내셔널 코리아(유), 유니버설픽쳐스인터내셔널 코리아(유)",90.0,20200429.0,"노래와 춤을 즐기며 평화로운 나날을 보내던 팝 트롤 파피와 브랜치 그리고 친구들. 어느 날 파피는 자신들 외에도 서로 다른 외모와 노래를 가진 5개의 트롤 마을이 더 있다는 것을 알게 된다. 모두와 친구가 되어 신나게 지내고 싶은 파피와 달리 록 트롤 마을의 여왕 바브는 다른 트롤 마을들을 위협해오고 있다. 바브는 트롤 조상들이 만든 팝, 테크노, 클래식, 컨트리, 펑크, 록 여섯개의 현을 찾아 모든 음악을 통합해, 록을 제외한 음악들을 파괴하려는 위험한 계획을 세운 것. 이를 모르는 팝 트롤들은 다른 음악을 사랑하는 트롤들과도 친구가 될 수 있으리라 믿으며 그들과 어울리기 위한 여행을 떠나는데...",https://image.tmdb.org/t/p/w500/q9KF4CXgK6imiN0Obvg8D7IDRVz.jpg,tales of arcadia,"가볍고 유쾌한,판타지 세계,우정",미국,8.561,8.87,2480,15만,4338,1711,609,6658,"극장판 도라에몽: 진구의 지구 교향곡, 뽀로로 극장판 바닷속 대모험, A MINECRAFT MOVIE 마인크래프트 무비, 슈퍼 마리오 브라더스, 뽀로로 극장판 슈퍼스타 대모험",,5448.545
파묘,"액션, 판타지","최민식, 김고은, 유해진, 이도현, 김재철, 김민준, 김병오, 전진기, 박정자, 박지일, 이종구, 이영란, 정상철, 김지안, 김태준, 김서현, 송광자, 최문경, 김선영, 이다윗, 김소숙, 정윤하, 설승혜, 홍서준, 안태영, 최정화, 이아연, 심소연, 한미자, 현지인, 이경민, 한동희, 이정현, 설창희, 황유나, 윤재인, 김희상, 선인호, 백승철, 윤종구, 박종원, 임호준, 김진욱, 류한선, 박태양, 이은경, 박진영, 홍석빈, 한혜지, 박재완, 윤정훈, 최교식, 이지현, 정예서, 이은주, 은수, 장의돈, 주광현, 박용, 신무호, 김이석, 김선동, 한동균, 박예빈, 윤수진, 정승기, 강일웅, 김영주, 오보혜, 고영규, 선인호, 전형규, 이태운, 임예은, 최낙윤, 정무성, 진대연, 송나영, 유한솔, 김하영",장재현,"(주)쇼박스, (주)엠씨엠씨, (주)쇼박스, (주)쇼박스, (사)한국농아인협회, 한국시각장애인연합회",133.0,20240222.0,"미국 LA, 거액의 의뢰를 받은 무당 화림과 봉길은 기이한 병이 대물림되는 집안의 장손을 만난다. 조상의 묫자리가 화근임을 알아챈 화림은 이장을 권하고, 돈 냄새를 맡은 최고의 풍수사 상덕과 장의사 영근이 합류한다. 절대 사람이 묻힐 수 없는 악지에 자리한 기이한 묘. 상덕은 불길한 기운을 느끼고 제안을 거절하지만, 화림의 설득으로 결국 파묘가 시작되고… 나와서는 안될 것이 나왔다.",https://image.tmdb.org/t/p/w500/tw0i3kkmOTjDjGFZTLHKhoeXVvA.jpg,"ritual, coffin, exorcism, grave, curse, shaman, undertaker, illness, tomb, occult, ghost, grave digging, ancestor, vexed, shamanism, japanese occupation of korea, evil spirits, distressing","긴장감 있는,현대,구원",중국,8.221,7.77,31789,1191만,420997,467187,167198,1055382,"사바하, 쥬라기 월드: 도미니언, 귀공자, 캡틴 아메리카: 브레이브 뉴 월드, 미션 임파서블: 데드 레코닝","듄, 듄: 파트2",724774.07
파이널 데스티네이션 블러드라인,공포(호러),"케이틀린 산타 후아나, 테오 브리오네스, 리처드 하몬, 오웬 패트릭 조이너, 안나 로어, 브렉 배싱어, 토니 토드","아담 B. 스테인, 잭 리포브스키","워너브러더스 코리아(주), 워너브러더스 코리아(주)",109.0,20250514.0,"끝없는 악몽에 시달리던 스테파니는 그 원인을 찾던 중 집안 대대로 내려오는 죽음의 저주와 그 실체를 알게 된다. 놀랍게도, 죽음의 순서가 자신의 가족에게 이어졌음을 알게 되는데...  이제, 다음 차례는 누구?",https://image.tmdb.org/t/p/w500/agaIglFrRGuUQOzkhzlrvcjJgt2.jpg,"restaurant, gore, sequel, premonition, fate, family, death, blunt, near-death experience, 1960s, cheating death, supernatural horror, horror, teen scream","어두운,현대,생존",미국,8.341,8.57,704,8만,19646,12506,963,33115,"사흘, 쥬라기 월드: 도미니언, 사바하, 톡 투 미, 베놈: 라스트 댄스","바이러스, 릴로 & 스티치, 주차금지",27218.655
파일럿,코미디,"조정석, 이주명, 한선화, 신승호, 오민애, 김지현, 서재희, 박다온, 현봉식, 서현철, 유재석, 조세호, 강하늘, 문상훈, 이시언, 차희, 최필상, 서명찬, 은정완, 유인혜, 남현우, 임세인, 이수미, 조주경, 오태은, 유형준, 윤수혁, 김사랑, 조승구, 김문희, 김태훈, 나현우, 한사명, 송훈, 천윤경, 민영, 김승비, 한주아, 진한서, 박제린, 김대근, 김영수, 이시안, 최혁, 김민수, 강경우, 김관혁, 성충모, 박미라, 백성욱, 한지혁",김한결,"쇼트케이크(주), (주)무비락, 롯데컬처웍스(주)롯데엔터테인먼트, 롯데컬처웍스(주)롯데엔터테인먼트, 쏠레어파트너스(유), 롯데컬처웍스(주)롯데엔터테인먼트, (사)한국농아인협회, 한국시각장애인연합회",110.0,20240731.0,,https://image.tmdb.org/t/p/w500/itCjPSUVfS2bQBl3oxdqwQJx40H.jpg,"u.s. air force, fighter jet, jet fighter","유머러스한,현대,성장",한국,7.551,6.98,12577,471만,171359,41284,24227,236870,"히트맨2, 히트맨, 동화지만 청불입니다, 패션왕, 아마존 활명수","데드풀과 울버린, 슈퍼 배드, 슈퍼배드, 사랑의 하츄핑",213237.5
패딩턴: 페루에 가다!,"코미디, 드라마","휴 보네빌, 에밀리 모티머, 벤 위쇼, 올리비아 콜맨, 안토니오 반데라스",,"소니픽쳐스엔터테인먼트코리아주식회사극장배급지점, 소니픽쳐스엔터테인먼트코리아주식회사극장배급지점",106.0,20250219.0,영국 국민으로 거듭난 ‘패딩턴’에게 어느 날 고향인 페루에서 날아온 의문의 편지 한 통. “루시 숙모님이 사라졌어요!” 지도 한 장만 남긴 채 감쪽같이 사라져 버린 ‘루시’ 숙모를 찾아 떠난 ‘패딩턴’과 브라운 가족은 페루의 정글을 둘러싼 비밀을 찾아 모험을 떠나게 되는데…,https://image.tmdb.org/t/p/w500/1rfxGlRaFe8bqKOtebXl2CFel8F.jpg,"london, england, based on novel or book, peru, anthropomorphism, bear, based on children's book, family, talking to animals, children's book, taxidermist, live action and animation, personification, natural history museum","마음이 따뜻해지는,시골,가족","미국, 영국, 프랑스",8.241,9.01,601,12만,3907,2667,1172,7746,"3일의 휴가, 릴로 & 스티치, 어바웃 타임, 대가족, 원정빌라","캡틴 아메리카: 브레이브 뉴 월드, 퇴마록, 괜찮아 괜찮아 괜찮아!",42012.275
패션왕,"코미디, 드라마","주원, 최진리, 안재현, 박세영, 김성오, 김한나, 이일화, 이동휘, 민진웅, 이수광, 김다율, 윤혜빈, 이대수, 이상훈, 이정연, 이주영, 이주희, 이효재, 정라엘, 최우진, 기안84, 김승주, 박상욱, 배유람, 양흥주, 주민하, 강덕중, 이은채, 김태훈, 임영우, 김성준, 위지웅",오기환,"주식회사 와이랩, (주)노마드필름, (주)넥스트엔터테인먼트월드(NEW), (주)넥스트엔터테인먼트월드(NEW), (주)콘텐츠판다, (사)한국농아인협회, 한국시각장애인연합회",114.0,20141106.0,"하고 싶은 일도, 되고 싶은 꿈도 없는 빵셔틀 ‘우기명’. 서울로 전학온 후 야심차게 새로운 시작을 해보려 하지만 그의 미약한 존재를 알아주는 이는 미모를 버린 전교 1등 ‘은진’뿐,  핫하다고 해서 사입은 패딩은 짝퉁일 뿐이다.",https://image.tmdb.org/t/p/w500/bLgWaOVZjssUSqg6Hz1h56wpLBr.jpg,"based on comic, fashion, based on webcomic or webtoon","유머러스한,학교,성장",한국,6.791,5.17,9224,59만,17,13,29,59,"해리 포터와 불의 잔, 괜찮아 괜찮아 괜찮아!, 더 퍼스트 슬램덩크, 파일럿, 아마존 활명수",,34095.12
퍼피 구조대: 더 마이티 무비,"애니메이션, 어드벤처","정선혜, 박지윤, 신용우, 문남숙, 엄상현",캘런 브런커,"파라마운트 픽쳐스, 롯데컬처웍스(주)롯데엔터테인먼트, 롯데컬처웍스(주)롯데엔터테인먼트",92.0,20231006.0,"신비한 힘을 가진 유성이 어드벤처 시티에 떨어진 날, 퍼피 구조대는 유성에서 나온 크리스탈 덕분에 초능력을 가진 ‘퍼피 히어로즈’로 변신한다. 하지만 악당 ‘험딩어 시장’과 미치광이 과학자 ‘빅토리아’는 초능력의 원천인 크리스탈을 빼앗아 어드벤처 시티를 지배하려 하는데..! 작고 약하게 태어났지만 오랫동안 큰 꿈을 키워 온 ‘스카이’와 퍼피 히어로즈는 주니어 구조대원들과 함께 어드벤처 시티를 지켜낼 수 있을까?",https://image.tmdb.org/t/p/w500/62CEuwp287mbVarn3f2KcSAsrj1.jpg,"dog, super power","가볍고 유쾌한,도시,우정",미국,8.411,9.33,385,17만,3207,1775,1164,6146,"뽀로로 극장판 바닷속 대모험, A MINECRAFT MOVIE 마인크래프트 무비, 슈퍼 마리오 브라더스, 트롤: 월드 투어, 극장판 도라에몽: 진구의 지구 교향곡",,13249.435
풍재기시,"범죄, 드라마","양조위, 곽부성",옹자광,"(주)빅브라더스, 티미디어",143.0,20230705.0,"1960년대 영국령 홍콩, 삼합회와 경찰 조직을 장악해 비즈니스 제국을 설계하려는 엘리트 브레인 ‘남강’(양조위)은 신분 상승을 꿈꾸는 거침없는 행동파 ‘뇌락’(곽부성)을 만나게 된다. 머리 잘 쓰는 비리 경찰 ‘남강’과 들끓는 야망을 품은 ‘뇌락’은 홍콩 전역에서 힘 있는 경찰이자 파트너로 승승장구한다. 그들이 세운 제국이 몸집을 키울수록, ‘뇌락’의 욕망은 선을 넘고 ‘남강’과 ‘뇌락’은 충돌이 잦아지다 급기야 서로에게 총구를 겨누게 되는데… 올여름, 범죄의 신세계가 열린다!",https://image.tmdb.org/t/p/w500/hiUQ8FSZZPwz8MS39p8WQcdnSEb.jpg,,"어두운,역사적,권력",홍콩,5.771,7.71,207,1만,3,6,85,94,"악마와의 토크쇼, 콘클라베, 존 오브 인터레스트, 듄: 파트2, 듄",미션 임파서블: 데드 레코닝,5496.695
퓨리오사: 매드맥스 사가,액션,"안야 테일러 조이, 크리스 헴스워스, 톰 버크",조지 밀러,"워너브러더스 코리아(주), 워너브러더스 코리아(주)",148.0,20240522.0,"문명 붕괴 45년 후, 황폐해진 세상 속 누구에게도 알려지지 않은 풍요가 가득한 녹색의 땅에서 자란 퓨리오사는 바이커 군단의 폭군 디멘투스의 손에 모든 것을 잃고 만다. 가족도 행복도 모두 빼앗기고 세상에 홀로 내던져진 퓨리오사는 반드시 고향으로 돌아가겠다는 어머니와의 약속을 지키기 위해 인생 전부를 건 복수를 시작하는데...",https://image.tmdb.org/t/p/w500/zaUFDdJidS4Nyyd6jb2Ok3Kq4Vo.jpg,"chase, post-apocalyptic future, warlord, prequel, wasteland, spin off, struggle for survival, desert, tyrant, tyranny, masculinity, grim, revenge murderer, mother daughter relationship, anxious, child abduction, car, bold, brisk","냉혹한,종말 이후,복수",미국,8.891,9.25,5359,160만,42961,63920,31099,137980,"혹성탈출: 새로운 시대, 서바이브, 콰이어트 플레이스 2, 콰이어트 플레이스, 콰이어트 플레이스: 첫째 날","그녀가 죽었다, 설계자",112437.315
